!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
-ic	-ский
-logy	-логия (f) (-logija or -logiya)
-phobia	-фобия
-un-	-ун-
0-0	0-0, короткая рокировка
0-0-0	0-0-0, длинная рокировка
10th	10-ый
11th	11-ый
12th	(m) 12-й, 12-ый; (f) 12-я; (n) 12-е
1st	1-ый
2nd	2-ой
3rd	3-ий
4th	4-ый
5th	5-ый
6th	6-ой
7th	7-ой
8th	8-ой
9th	9-ый
?	?, плохой ход, ошибка
??	??, грубая ошибка
A major	ля мажор
A-flat major	ля-бемоль мажор
A-sharp major	ля-диез мажор
ABC	азбука (ázbuka) (f)
ABC	азбука (ázbuka) (f), букварь (bukvár’) (m)
ABC	алфавит (alfavít) (m), азбука (ázbuka) (f)
AD	после Р. Хр. ("pósle Roždestvá Xristóva"); н. э. (nášej éry)
AIDS	СПИД (m)
AK-47	АК-47
Aachen	Aaxeн (m)
Aaron	Аарон (aarón)
Abdul	Абдул (Abdul)
Abdullah	Абдулла (Abdullá)
Abel	Авель (Ável’)
Aberdeen	Абердин (Aberdín) (m)
Abidjan	Абиджан (Abidžan)
Abkhaz	абхаз (abkház)
Abkhazian	абхазский язык (abkházskij jazýk) (m)
Abraham	Авраам (Avraám) (m)
Abraham	Авраам (Avraám) (m)
Abram	Авраам (Avraám)
Absalom	Авессалом (Av'essalóm)
Abu Dhabi	Абу-Даби "(Abu-Dabi)"
Abyssinia	Абиссиния (Abissínija) (f)
Accra	Аккра (Ákkra)
Achab	Ахав (aχáv)
Achilles	Ахилл (Akhíl), Ахиллес (Akhillés)
Achilles heel	Ахиллесова пята (aχillésova p'atá) (f)
Acropolis	(Akropol')
Adam	Адам
Adam's apple	кадык (kadýk) (m), Адамово яблоко (Adámovo jábloko) (n)
Addis Ababa	Аддис-Абеба (Addís-Abéba) (f)
Adelaide	Аделаида (Adelaída)
Adrian	Адриан (Adrian)
Adriatic Sea	Адриатическое море (Adriatíčeskoje móre) (n)
Aegean Sea	Эгейское море (Egéjskoje móre) (n)
Aeschylus	Эсхил (m) (Jeshil or Yeskhil)
Afghanistan	Афганистан (Afganistán) (m)
